Video;Kategorie;Art;durchgeschaut;views;Sonstiges;vergangene Zeit;Account
318;War U R;;;;;;
319;Politik kritisch;Bild Beitrag;ja;113k;"Lieber Nicht geimpfte als ungeimpfte, un sei negativ wertend; unsinnige Regeln der Politik";;freiheitalle
320;Medizin;;;;;;
321;Random;;;;;;
322;Random;;;;;;
323;Potlitik kritisch;Interviews mit Lauterbach;ja;44.5k;"""Lügenbaron Lauterbach"", Übertreibungen von Lauterbach und Falschaussage wird suggeriert";40 min 24 sek;kritischdenken
324;Random;;;;;;
325;War U R;;;;;;
326;War U R;;;;;;
327;Random;;;;;;
328;Impfpflicht kritisch;Talkshow mit Amthor;ja;118.2k;Amthor soll sein Haltung zu Impflicht mit nur ja oder nein beantworten --> Analyse: das kann man nicht so schwarz und weiß sehen, wie es immer von dem Menschen erwartet wird;;Politik / Impfung Kritiker
329;Random;;;;;;
330;Politik kritisch;Interview mit Schülerin;ja;2173;Kritik darüber, wie die Schüler unter der Corona Politik leiden;;rtlaktuell
331;War U R;;;;;;alphagammaomegahelp
332;Medizin;;;;;;
333;Verschwörung Politik;Interview mit TV-Arzt Specht;ja;83.2k;TV-Arzt diagnostiziert Lauterbach mit Angstneurose und empfiehlt ihm psychiatrische Hilfe --> so steht es als Überschrift, der Arzt sagt jedoch nur, dass Lauterbach zu viel Angst verbreitet;;Politik / Corona Kritiker
334;War U R;;;;;;
335;Impfpflicht kritisch;eigenes Video;ja;19.9k;Krankenhäuser stellen eher Security ein, als Pflegepersonal;;normal / Comedy
336;Politik kritisch;Markus Lanz Talkshow;ja;73.3 k;Bekämpfen wir den Mensch oder das Virus, Kontrolle des Menschen;;genesenungeimpft
337;Impfung kritisch;Dokumentation;ja;720.2k;mit neuen Impfnebenwirkungen wird Angst gemacht, als wäre das von der Politik verschwiegen worden;;Corona / Politik Kritiker
338;Impfung kritisch;eigenes Video;ja;626.9k;Oma regt sich über Maßnahmen auf, sagt das es egal ist ob geimpft oder nicht;;normal / Comedy
339;Impfung positiv;eigenes Video;ja;76.3k;Arzt bekommt Geld angeboten für falschen Impfpass;;der einzige Account, der pro Impfung ist und Mythen aufklärt --> Arzt
340;Random;;;;;;
341;Random;;;;;;
342;Verschwörung Politik / Impfung;Interview mit Alice Weidel;ja;156k;"""Weidel spricht aus der Seele des Volkes"" --> gegen Impfzwang, Politiker sollen keine Ahnung davon haben, wovon sie reden, sie wisse die Fakten, falsche Zahlen der Gegenseite";;Anti Medien, Corona / Politik Kritiker
343;Random;;;;;;
344;Corona neutral;eigenes Video;ja;178.4k;Es wird momentan nichts über Corona berichtet, als wäre es weg;50 min 20 sek;normal
